iter	Passed	Remaining
410	4348	6231
411	4358	6221
412	4369	6210
413	4379	6199
414	4390	6188
415	4400	6178
416	4411	6167
417	4421	6156
418	4432	6145
419	4442	6134
420	4452	6124
421	4463	6113
422	4473	6102
423	4483	6091
424	4494	6080
425	4504	6069
426	4515	6059
427	4526	6049
428	4536	6038
429	4547	6027
430	4557	6016
431	4568	6006
432	4579	5996
433	4589	5986
434	4601	5976
435	4611	5965
436	4621	5954
437	4632	5943
438	4642	5932
439	4652	5921
440	4663	5911
441	4673	5900
442	4684	5889
443	4694	5878
444	4705	5868
445	4715	5857
446	4726	5847
447	4736	5836
448	4747	5825
449	4757	5814
450	4767	5803
451	4778	5793
452	4788	5782
453	4799	5771
454	4809	5761
455	4819	5750
456	4830	5739
457	4840	5728
458	4851	5717
459	4861	5707
460	4871	5696
461	4882	5685
462	4892	5674
463	4903	5664
464	4913	5653
465	4924	5642
466	4934	5632
467	4945	5621
468	4955	5610
469	4965	5599
470	4976	5589
471	4998	5591
472	5015	5588
473	5030	5582
474	5043	5573
475	5053	5563
476	5064	5552
477	5074	5541
478	5085	5531
479	5095	5520
480	5106	5509
481	5117	5499
482	5127	5488
483	5137	5477
484	5148	5466
485	5158	5456
486	5169	5445
487	5179	5434
488	5189	5423
489	5200	5412
490	5210	5401
491	5221	5391
492	5231	5380
493	5242	5370
494	5253	5359
495	5263	5348
496	5274	5337
497	5284	5327
498	5295	5316
499	5306	5306
500	5316	5295
501	5327	5284
502	5338	5274
503	5348	5263
504	5359	5253
505	5369	5242
506	5380	5231
507	5391	5221
508	5402	5211
509	5412	5200
510	5423	5189
511	5433	5179
512	5444	5168
513	5454	5157
514	5465	5146
515	5475	5136
516	5486	5125
517	5497	5115
518	5507	5104
519	5518	5094
520	5528	5083
521	5539	5072
522	5550	5061
523	5560	5051
524	5571	5041
525	5582	5030
526	5592	5019
527	5603	5008
528	5613	4998
529	5624	4987
530	5634	4976
531	5645	4966
532	5655	4955
533	5666	4944
534	5676	4933
535	5687	4923
536	5698	4913
537	5709	4902
538	5720	4892
539	5730	4881
540	5741	4871
541	5751	4860
542	5762	4849
543	5772	4838
544	5783	4828
545	5793	4817
546	5804	4806
547	5814	4795
548	5824	4785
549	5835	4774
550	5846	4764
551	5856	4753
552	5867	4742
553	5877	4732
554	5888	4721
555	5899	4711
556	5910	4700
557	5921	4690
558	5931	4679
559	5942	4669
560	5952	4658
561	5963	4647
562	5974	4637
563	5984	4626
564	5995	4615
565	6005	4605
566	6016	4594
567	6026	4583
568	6037	4573
569	6048	4562
570	6058	4552
571	6069	4541
572	6080	4530
573	6090	4520
574	6101	4509
575	6112	4499
576	6122	4488
577	6133	4477
578	6144	4467
579	6154	4456
580	6165	4446
581	6176	4435
582	6186	4425
583	6197	4414
584	6207	4403
585	6218	4393
586	6228	4382
587	6239	4371
588	6249	4361
589	6260	4350
590	6270	4339
591	6281	4328
592	6291	4318
593	6302	4307
594	6313	4297
595	6323	4286
596	6334	4275
597	6344	4265
598	6355	4254
599	6366	4244
600	6378	4234
601	6390	4224
602	6401	4214
603	6413	4204
604	6424	4194
605	6434	4183
606	6445	4173
607	6457	4163
608	6471	4154
609	6483	4145
610	6494	4134
611	6505	4124
612	6517	4114
613	6528	4104
614	6539	4094
615	6550	4083
616	6561	4072
617	6571	4061
618	6581	4051
619	6592	4040
620	6602	4029
621	6613	4019
622	6625	4009
623	6636	3998
624	6646	3987
625	6656	3977
626	6667	3966
627	6677	3955
628	6688	3944
629	6698	3933
630	6708	3923
631	6719	3912
632	6730	3902
633	6740	3891
634	6751	3880
635	6761	3869
636	6771	3859
637	6782	3848
638	6793	3837
639	6803	3827
640	6814	3816
641	6824	3805
642	6835	3795
643	6846	3784
644	6856	3773
645	6867	3763
646	6877	3752
647	6888	3741
648	6899	3731
649	6910	3720
650	6921	3710
651	6932	3700
652	6942	3689
653	6953	3678
654	6963	3667
655	6974	3657
656	6984	3646
657	6995	3635
658	7005	3624
659	7015	3614
660	7026	3603
661	7036	3592
662	7046	3581
663	7057	3571
664	7067	3560
665	7078	3549
666	7088	3538
667	7098	3528
668	7109	3517
669	7119	3506
670	7130	3496
671	7141	3485
672	7151	3474
673	7161	3464
674	7172	3453
675	7182	3442
676	7192	3431
677	7203	3421
678	7213	3410
679	7224	3399
680	7234	3388
681	7244	3378
682	7255	3367
683	7266	3357
684	7276	3346
685	7287	3335
686	7297	3324
687	7308	3314
688	7319	3303
689	7329	3293
690	7340	3282
691	7351	3272
692	7361	3261
693	7372	3250
694	7383	3240
695	7394	3229
696	7404	3218
697	7414	3208
698	7425	3197
699	7436	3186
700	7446	3176
701	7457	3165
702	7467	3154
703	7478	3144
704	7488	3133
705	7498	3122
706	7509	3112
707	7520	3101
708	7531	3091
709	7542	3080
710	7552	3069
711	7563	3059
712	7573	3048
713	7584	3038
714	7595	3027
715	7605	3016
716	7616	3006
717	7626	2995
718	7637	2984
719	7647	2974
720	7658	2963
721	7669	2952
722	7679	2942
723	7690	2931
724	7700	2921
725	7711	2910
726	7722	2900
727	7733	2889
728	7743	2878
729	7754	2867
730	7764	2857
731	7774	2846
732	7785	2835
733	7796	2825
734	7806	2814
735	7817	2803
736	7827	2793
737	7838	2782
738	7848	2772
739	7859	2761
740	7870	2750
741	7881	2740
742	7891	2729
743	7902	2718
744	7912	2708
745	7923	2697
746	7934	2687
747	7944	2676
748	7955	2665
749	7966	2655
750	7976	2644
751	7986	2633
752	7997	2623
753	8007	2612
754	8018	2601
755	8028	2591
756	8038	2580
757	8049	2569
758	8059	2559
759	8070	2548
760	8080	2537
761	8091	2527
762	8101	2516
763	8112	2505
764	8122	2495
765	8133	2484
766	8144	2474
767	8155	2463
768	8166	2453
769	8177	2442
770	8187	2431
771	8197	2421
772	8208	2410
773	8218	2399
774	8229	2389
775	8240	2378
776	8250	2367
777	8260	2357
778	8271	2346
779	8281	2335
780	8292	2325
781	8302	2314
782	8313	2303
783	8324	2293
784	8334	2282
785	8345	2272
786	8356	2261
787	8367	2251
788	8378	2240
789	8389	2230
790	8400	2219
791	8410	2208
792	8421	2198
793	8431	2187
794	8442	2177
795	8453	2166
796	8463	2155
797	8474	2145
798	8484	2134
799	8495	2123
800	8506	2113
801	8517	2102
802	8528	2092
803	8539	2081
804	8549	2070
805	8560	2060
806	8570	2049
807	8581	2039
808	8592	2028
809	8602	2017
810	8613	2007
811	8624	1996
812	8634	1986
813	8644	1975
814	8655	1964
815	8665	1954
816	8676	1943
817	8686	1932
818	8697	1922
819	8708	1911
820	8718	1900
821	8730	1890
822	8740	1879
823	8751	1869
824	8762	1858
825	8772	1848
826	8783	1837
827	8794	1826
828	8804	1816
829	8815	1805
830	8825	1794
831	8836	1784
832	8846	1773
833	8857	1763
834	8868	1752
835	8879	1741
836	8889	1731
837	8900	1720
838	8910	1709
839	8921	1699
840	8932	1688
841	8942	1678
842	8953	1667
843	8964	1656
844	8974	1646
845	8985	1635
846	8995	1624
847	9006	1614
848	9016	1603
849	9027	1593
850	9037	1582
851	9048	1571
852	9059	1561
853	9069	1550
854	9080	1539
855	9091	1529
856	9101	1518
857	9112	1508
858	9122	1497
859	9133	1486
860	9144	1476
861	9155	1465
862	9165	1455
863	9176	1444
864	9186	1433
865	9196	1423
866	9207	1412
867	9217	1401
868	9227	1391
869	9238	1380
870	9248	1369
871	9259	1359
872	9269	1348
873	9280	1337
874	9290	1327
875	9300	1316
876	9311	1305
877	9322	1295
878	9332	1284
879	9343	1274
880	9353	1263
881	9364	1252
882	9375	1242
883	9385	1231
884	9396	1220
885	9406	1210
886	9417	1199
887	9427	1189
888	9438	1178
889	9448	1167
890	9459	1157
891	9469	1146
892	9480	1135
893	9491	1125
894	9501	1114
895	9512	1104
896	9523	1093
897	9533	1082
898	9544	1072
899	9555	1061
900	9566	1051
901	9577	1040
902	9587	1029
903	9598	1019
904	9609	1008
905	9619	998
906	9630	987
907	9640	976
908	9651	966
909	9662	955
910	9672	944
911	9683	934
912	9693	923
913	9704	913
914	9715	902
915	9725	891
916	9736	881
917	9747	870
918	9758	860
919	9768	849
920	9779	838
921	9790	828
922	9801	817
923	9811	807
924	9822	796
925	9833	785
926	9844	775
927	9854	764
928	9865	753
929	9875	743
930	9886	732
931	9896	722
932	9907	711
933	9917	700
934	9928	690
935	9939	679
936	9951	669
937	9963	658
938	9974	647
939	9985	637
940	9996	626
941	10006	616
942	10016	605
943	10027	594
944	10038	584
945	10048	573
946	10059	562
947	10069	552
948	10080	541
949	10090	531
950	10101	520
951	10112	509
952	10123	499
953	10134	488
954	10145	478
955	10155	467
956	10166	456
957	10176	446
958	10187	435
959	10197	424
960	10208	414
961	10218	403
962	10229	393
963	10239	382
964	10250	371
965	10261	361
966	10271	350
967	10281	339
968	10292	329
969	10302	318
970	10313	308
971	10323	297
972	10334	286
973	10346	276
974	10356	265
975	10367	254
976	10378	244
977	10389	233
978	10400	223
979	10411	212
980	10421	201
981	10431	191
982	10442	180
983	10452	169
984	10463	159
985	10473	148
986	10483	138
987	10494	127
988	10504	116
989	10515	106
990	10526	95
991	10537	84
992	10547	74
993	10558	63
994	10568	53
995	10579	42
996	10590	31
997	10600	21
998	10610	10
999	10621	0
