,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
HuberRegressor,1.1648344762705043,1.003139835455586,0.9406112339621402,1.1112887681232013,1.2520554359843863,1.161607112633862,1.3848119736811848,1.0136798001065008,1.13615587260526,1.5488925402794018,1.3130334150552183,1.1273554690639327,1.0453892405495033,1.3273517768729322,1.872358850422197
DecisionTreeRegressor,0.9665799063022456,0.8339486128330436,0.8569381644686523,0.9675834961803711,0.9121343613465425,0.9189930220883243,0.7829905231900006,1.063091714471391,0.9790204808696354,0.8643449872082851,1.0011500270068805,0.9308905717832342,0.875110118907624,0.960725032133936,1.273263378693834
ElasticNet,1.0955482825362195,0.8465023883502879,0.8074253907478633,0.9056759573662325,0.8787217767260689,0.8590884308785045,0.8166657469796029,0.8097156660970548,0.8410721846625229,0.8826590922453642,0.908570797084871,0.7919988080375445,1.163377767897319,1.8715913242397735,3.137966324259907
PassiveAggressiveRegressor,1.285481975016834,1.1543026039615898,1.1882881915401313,1.6836964149427578,1.5987054044054805,1.1754402246075635,1.6825921071083951,1.2332227573114256,1.138036108425212,1.2420279797619402,1.520719617766523,1.4414857552657458,1.2487762006982837,1.6936920703365965,3.5210448770877636
xgboost,0.826949181390762,0.7716767030493801,0.6840493952684894,0.7595380172154502,0.7343308752149279,0.7468294984919164,0.7139426716214745,0.8073982837003665,0.7265328735430451,0.756884767335056,0.8074154601233283,0.6914373521606313,0.7957973634519859,0.8992632148598314,1.516106706079281
MLPRegressor,7.900920698987401,6.516966559471191,6.0218274660743765,5.412827355564397,6.026849256261412,6.918292611295336,5.575303496802959,4.707597029221363,6.236698680864332,6.495032532899418,6.306148637412979,4.501470923884504,32.859439512632484,268.4716186100105,16047.691701216148
ExtraTreeRegressor,1.1849656278268241,0.9288434845499894,0.82052830915133,0.8842757070856405,1.0819721124773547,0.9388581316050887,0.8937904750097152,0.8075358127290033,0.8060602784157642,0.9613044473971182,0.9644771125722659,0.939480815080608,0.9293658246133154,1.1763622092682287,1.8351295409369566
XGBRegressor,0.826949181390762,0.7716767030493801,0.6840493952684894,0.7595380172154502,0.7343308752149279,0.7468294984919164,0.7139426716214745,0.8073982837003665,0.7265328735430451,0.756884767335056,0.8074154601233283,0.6914373521606313,0.7957973634519859,0.8992632148598314,1.516106706079281
RandomForestRegressor,0.8328702939227715,0.6926404881604886,0.655091696218596,0.7109430647400403,0.7004699133904375,0.706061942638593,0.6838811882579778,0.6967082373684609,0.7110936667156292,0.742442719779341,0.765448386454622,0.6781860505463156,0.7581340669370078,0.8680293291650478,1.4761303813347029
HistGradientBoostingRegressor,0.8624432882557416,0.7146390991980418,0.6531641266240424,0.7290354987037566,0.741311311866911,0.7394165250503333,0.6913377372753416,0.7105959968092024,0.6800510697893998,0.7611544811820935,0.8235866812045051,0.6736874388374099,0.7577894037152422,0.8433482360335238,1.5681374831922907
GradientBoostingRegressor,0.8662516859390441,0.7458079982953489,0.6845313069186344,0.7467231171892025,0.7375032018160952,0.7182783323410206,0.7241693272243911,0.7052733784542434,0.6758784700583574,0.7596785009697535,0.8245514867288097,0.7122000117106458,0.7892582732710175,0.9199603210698521,1.7153798001747185
lightgbm,0.8769317186751588,0.7255347677904098,0.6505184715217075,0.7342020787816773,0.7217449661258021,0.725219496156119,0.6991997750708279,0.6924570184534644,0.7111173875148099,0.7593023062454302,0.8195975757081974,0.6970887580011426,0.7968494199559337,0.9085798077254916,1.7102615639483931
catboost,0.8570495375739721,0.7117963653823389,0.6555988301884118,0.7264530499093806,0.725019854204374,0.7072645472814479,0.67987713578647,0.6811651057897524,0.6853661999625879,0.732152086078837,0.763333849647788,0.661729007184333,0.7665804398109757,0.9427077102917167,1.6122078938368858
