,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
GaussianProcessRegressor,1.1498629286056758,0.8656298876930352,0.8202501908342186,0.9138259589024876,0.8895849745916432,0.8680443611355009,0.8251980222586882,0.8178526387184254,0.8488644072802628,0.8963404799482848,0.9201857609117132,0.8019594203846045,0.9863032500214068,1.0175479577282696,0.7294298752885342
BaggingRegressor,0.8735185233880558,0.6964975362177859,0.66882160579395,0.7397916209598997,0.7304238299449252,0.7354577925858484,0.7407839100600679,0.699414076047101,0.7116727930994925,0.7595600576537793,0.8277320844072527,0.6834652551846314,0.7471935784783748,0.8794445152178493,1.5133020285159973
rw,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ExtraTreesRegressor,0.8460555873162378,0.7011744289795424,0.6544405994787259,0.7216389013103499,0.7054754095062779,0.6993293305271633,0.6867626909593255,0.6843305081178154,0.6902672893471344,0.7422069891006082,0.7553628350738728,0.6519892940459082,0.768432914472525,0.953030312025402,1.6176972149534234
BayesianRidge,0.8874940486155587,0.7826445049284227,0.788087448742039,0.9106387821709331,0.9352403220663419,0.9091503939380811,0.862668439621545,0.8436732095974168,0.8707588684819224,0.9483781163610091,0.9866136692529044,0.9094121312013367,0.8626541363797172,1.23239910711027,2.1377618899748256
NuSVR,1.2507048960323592,0.912074665624862,0.8774909114932198,1.029939826140055,1.0167665812993791,0.9442812314775737,0.8879711997403272,0.8313263300805172,0.8834644332317207,0.9331737050076218,1.0278043350032884,0.909609834650828,1.3255840400237378,2.5089793707302204,5.622736793052694
SVR,1.2394985871860071,0.8977923964095164,0.8601701635018182,1.029632776245309,0.9973420210947462,0.9253125176321902,0.8871010158086085,0.8273454013075233,0.8782168995558775,0.9388456386189602,1.0156122221347905,0.8846158928288818,1.284408944878816,2.3625113715066,5.194237765985354
AdaBoostRegressor,0.9030029468077138,0.7473981909532268,0.7048588626441661,0.7280911464818497,0.7225214887174167,0.7434773347612559,0.7170112709467692,0.6897454639499425,0.7313503317075891,0.7525818028087966,0.7845709711851665,0.6751916614530415,0.8626695746435402,1.097183916474945,1.62810023409429
LinearSVR,1.5951717563676835,1.0266930685110627,1.6017605553314596,1.3547952721661358,1.3888277574667445,1.8268115721807732,1.319447814118796,1.1944975333753152,1.4386369107847652,1.198978067397326,1.4290872249963933,1.5125206754039697,1.4690249093316976,1.9546141725391721,5.045164529786914
SGDRegressor,360884234347231.25,522779557022905.06,401417827818651.9,140059869526707.05,433229494110500.6,364290525087753.9,166735092664887.47,116955357494172.95,507193252325210.0,331262718997577.06,204003917654455.94,365938686387903.2,3.0926264006556545e+42,1.387515089586719e+84,5.193709245613261e+167
