sasdate,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
2001-01-01,0.21014406094315732,0.28570546183056633,0.31830453312148776,0.2632193851627348,0.16055536930069444,0.41610385918286497,0.48786527417947534,0.3496844645497027,0.45136860880729723,0.7345470551298197,0.688345195803347,0.33744170442394916,,,
2001-02-01,0.40860103897658046,0.1970383905249077,0.32371995385223074,0.46399865666009055,0.1940646789642298,0.3599426270186963,0.3573362643507191,0.36524554543083365,0.2199572425560135,0.4572128722781442,0.851485647372906,0.5321727165854221,,,
2001-03-01,0.3017445562735154,0.4221238854403543,0.2950855844116008,0.5400951266859018,0.5499080581867127,0.2490543671234623,0.3409273406558988,0.495416418802085,0.3785049280657113,0.2906220981279894,0.6420437022776121,1.0490578068236425,0.8760466008525749,,
2001-04-01,0.29427724242972375,0.09506849110340598,0.40423764660179645,0.3328167180428506,0.2926878492450523,0.3267792410718171,0.4554812423916506,0.3764938181018551,0.5883450805278561,0.4127654914771284,0.29725773312743603,0.31278008218524617,1.812976131253254,,
2001-05-01,0.3949870300146857,0.26678603177448523,0.006604138748501631,0.5018642147599562,0.36161380597160814,0.5711089208842861,0.551974885479688,0.3656182990405528,0.4549560168831002,0.42350006195880135,0.17674609737168173,0.2896647242059375,0.43491364317467895,,
2001-06-01,0.47028720483607983,0.3286450531266018,0.3980866145691679,0.22681937176690922,0.26022495226908493,0.28809102635210354,0.4580947358298516,0.3769255459709785,0.41371851378281693,0.21349300348758873,0.39618960744391596,0.43877690437088707,1.2922641309222471,3.3854539456167414,
2001-07-01,0.5456461936611112,0.3412800690515626,0.6197052927211317,0.3952192202495157,0.04926198253949626,0.29723446753045923,0.2833325174352172,0.4340761079816795,0.23752348057485842,0.2970356127819205,0.2532495912025195,0.4399620964596834,2.00203081586967,5.906583554260578,
2001-08-01,0.2916550722165967,0.4131089163336324,0.3321609966952298,0.41459381295917136,0.3684859546466664,0.26519356778161673,0.5193181183369171,0.3193120105666642,0.5129556034836419,0.5255111606374259,0.3337993949115872,0.509157990907272,1.6271106385301932,1.3369386036997724,
2001-09-01,0.5905982760186721,0.3466369300431169,0.5611671135431582,0.5276758104849768,0.4261336160011434,0.35702727062704404,0.13782566597863888,0.27495490403622747,0.17624499582162304,0.39254019478634805,0.35786275133537804,0.29446765589446167,2.4098487819117427,4.939310479105819,
2001-10-01,0.27692221427834784,0.5053733425244368,0.2869520262609806,0.6954344254074641,0.5846082785357785,0.6085969237914035,0.364212823033623,0.1309827869882167,0.27367675368131594,0.07958010910644292,0.3652841802474086,0.2836104400996628,1.2385120269249588,8.742139656387785,
2001-11-01,0.49388890161423904,0.26518489996397754,0.2782878852683701,0.3400661313490295,0.45970831469018136,0.5430532950020477,0.6340684542060924,0.26598500091520805,0.3123793809655046,0.5398262720455789,0.19659011837289558,0.38661694350971765,2.0607890682681456,8.813239806983413,
2001-12-01,0.30881066700862353,0.432095178529882,0.4128037531883614,0.30117106520834575,0.5800237331681666,0.6026997253569626,0.6349547357537575,0.5029228945903828,0.2751046852616664,0.1485383892929169,0.3476159290102136,0.3323319249426688,1.282444795553368,12.52490929117029,14.031827347431344
2002-01-01,0.4183241415795074,0.36986022981636135,0.45464167332614114,0.3608132791734921,0.3520074145954667,0.354238557089811,0.6079664643450698,0.41027777201936594,0.32489159331037964,0.26337080422294756,0.07750267617995088,0.4175332628147762,2.1120474398002997,5.41866113339504,49.12301107406329
2002-02-01,0.7557361533117974,0.566103913828969,0.4152644783242661,0.6446173387093236,0.31395768089457343,0.48329199525625055,0.35324888507610736,0.6619906526218533,0.6334450201585228,0.4639480624721126,0.3540986189179966,0.41456315196327126,1.5374102486782646,6.986813163316012,5.909150241033123
2002-03-01,0.40364590457673155,0.7955941924142289,0.5668735849632756,0.4476694281317312,0.5475087884562275,0.27994180523743495,0.6152439004032507,0.4325757128337343,0.6530527028839197,0.46256309723925354,0.5060001364108685,0.38004993529889647,2.480406965571402,4.223606131183818,29.87937421277294
2002-04-01,0.30025778909883993,0.13119045062253548,0.8211227564850272,0.7463400159903409,0.35785100026096606,0.2600573941199188,0.3896741172166532,0.5441507273284222,0.5495617322060761,0.6396148263871634,0.5599993502481824,0.40147855599107257,4.741252735806293,8.980091535450844,96.94421259142379
2002-05-01,0.3276476258364159,0.24837610325675574,0.1322023644482183,0.9174129401048734,0.8481011649402552,0.39510351047059716,0.43808981874504704,0.32478443128400714,0.6087580261529555,0.2968649578574697,0.4690599868987414,0.41590237678836084,0.7977005470477894,5.95854821563876,118.39871891517882
2002-06-01,0.370167202411257,0.3708780917570842,0.22567556576096945,0.27619328118936254,0.45368707511343703,0.2124266286874019,0.3978830750307083,0.5133902788760182,0.4117122901117558,0.44843160104212604,0.30814686600331853,0.4905034211179018,0.9895297567878347,12.61883762369328,213.5067529152704
2002-07-01,0.4443109283884999,0.47545246969343347,0.31816596412595827,0.2077718297393691,0.19554442493123406,0.632524059900372,0.5553857052349633,0.2511887443683761,0.44278797122350255,0.4785998911643129,0.44272704193936924,0.2707113457468178,1.3991187936241438,25.124791858223784,40.56681618332633
2002-08-01,0.22504106749868083,0.4413255030755588,0.4992007993522522,0.5646975111785456,0.19226234149719837,0.14386962995227726,0.6067656970688973,0.6171123598808853,0.45813483532158494,0.5200618395241201,0.2661672677508547,0.4978140905182,2.0308091967535633,2.137444503256644,99.3072045106537
