sasdate,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12,acc3,acc6,acc12
2002-07-01,-10183890172844.438,127579726158709.7,-70499728450289.61,69750729505423.0,151883976188303.12,2373157727412.616,-762089227756.0996,61138705015212.78,3739001479207.6045,-117987920101243.52,100266447974279.48,108061738015430.22,3.1033961804974336e+41,-7.495868913282975e+82,2.1689024302285825e+164
2002-08-01,17017192892321.201,-109731538025078.52,154971932336801.3,3281984042128.757,-193293611082866.75,-46030440240483.23,-32771652684150.98,35173246528727.934,354739611913512.1,78497083807950.19,-56746625534952.07,117886579044454.83,-6.854381334332475e+40,2.2632450441599278e+83,4.627278500608393e+168
2002-09-01,92637700218957.31,-7590545640497.771,-50794141127126.92,73909032607886.7,25459483691255.05,82682764153965.98,-50182605892758.46,53328679060238.766,-111566719232634.6,53308858264874.84,44613079291357.68,-4113421031066.3584,-5.676214447774117e+40,-8.822019172081591e+83,-8.152342635612377e+163
2002-10-01,-75230595954405.66,100012138086105.3,71698910257268.69,-17560920646607.229,-133205297129931.67,-192199975905409.06,36304491701197.46,9255496458479.783,232848345499987.03,83426043199922.11,-17753587167513.848,404467029948933.1,-9.261332415581557e+39,-4.983983631371761e+81,-3.5109831565123755e+164
2002-11-01,49288156202529.2,-186130503685807.44,-75456725610460.75,51644279552849.18,111092060760367.8,91847211246209.95,-21115667009143.215,4775987066475.284,53898260545997.44,140312387065217.66,-14514333185294.984,-18918991385637.414,-6.990985995517893e+41,6.198023948943709e+82,4.002109476555592e+167
2002-12-01,54791529954600.79,226242350539470.16,41820975110659.67,40100962370840.55,-84485278968416.2,-48758907418480.37,-31371789494981.406,33041826043646.117,84766944241763.53,20900183709555.23,4624093601275.094,280200339567871.72,5.856069327596077e+41,-5.399369682986692e+81,-2.0709744780570868e+164
2003-01-01,-167397124669613.9,-108703299924913.61,27239772732783.258,-1484085110796.7512,-95615894698989.98,-24446992329895.8,24208341490172.836,25880744818732.29,-95043850808309.11,-41011191867091.72,28706784236428.137,-69905461432208.26,3.0375256657433634e+41,-9.878754085860663e+80,-1.3835282961997782e+165
2003-02-01,89676022263121.84,-157334735054621.84,-184579789722455.62,50453659154432.32,97311951142007.16,-36699135516722.88,-17727114976059.566,-17681632142998.836,247749915081438.03,132747085339171.25,-82635553940080.73,138984029429948.75,1.099360940224814e+42,-9.837373363219096e+82,-4.724532092960027e+164
2003-03-01,8087540103333.306,218450065020752.97,247888386317594.2,-9911646241216.068,-88851881826937.89,-95140230307566.77,50400513230395.88,22616592659667.465,-110068592326749.75,59834467677253.625,-5365193958561.809,-34176127667114.08,6.528731187963315e+42,8.046284723577136e+81,1.5017934797427553e+165
2003-04-01,-72230045265459.2,-328671536255193.5,-46268417664448.766,22742468206624.28,69584877815244.83,121062028226305.44,-48897182727033.45,-15177466762109.895,98610879971696.69,-45052027079580.9,-6049243600446.523,187179818747386.4,-9.06385943482973e+41,-1.6484933560006667e+83,4.40594346158356e+163
